"Stock","Client Name","Client Category","Action*","Reported To/By Exchange","Quantity","Post Transaction Holding","Traded %","Avg. Price","Value","Period","Regulation (Insider/SAST)","Security Type","Mode"
"Info Edge","Shalabh Nigam","Other","Disposal","2026-08-18","25000","94685","0.00","1355.3","33,882,106","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Info Edge","Kumar Karuppannan","Designated Person","Disposal","2026-08-18","674","1","0.00","1357.3","914,820","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"Sangam","Vikas Dungarwal","Designated Person","Acquisition","2026-08-18","2625","2925","0.01","266.7","700,088","10 Aug 2026  10 Aug 2026","Insider Trading","Equity","ESOP"
"Info Edge","Amitendra Singh Antal","Designated Person","Disposal","2026-08-18","1500","7194","0.00","1361.8","2,042,679","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Sangam","Vikas Dungarwal","Designated Person","Disposal","2026-08-18","1700","1225","0.00","588.4","1,000,300","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Info Edge","Manoj Padmanabhan","Designated Person","Disposal","2026-08-18","5000","174260","0.00","1360","6,800,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Info Edge","Info Edge Employees Stock Option Plan Trust","Trust","Disposal","2026-08-18","14706","460696","0.00","2","29,412","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","ESOP"
"Daulat Securities","ADITI BHUTORIA","Connected Person","Acquisition","2026-08-18","2500","93174","0.05","28.5","71,150","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Info Edge","Shalabh Nigam","Other","Disposal","2026-08-18","25000","69685","0.00","1355.1","33,877,447","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Info Edge","Ruchir Singh","Designated Person","Disposal","2026-08-18","2744","0
                
                
                    (0%)","0.00","1364.7","3,744,737","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Go Fashion","RAHUL SARAOGI","Promoter","-","2026-08-18","1625000","9932320","3.01","331","537,875,000","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Pledge Creation"
"Eppeltone Engineers","Mr. Deven Chowdhary","Promoter","Sale","2026-08-18","821000","1983000","-","","-","07 Aug 2026  07 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"Eppeltone Engineers","Mr. Rohit Chowdhary","Promoter","Sale","2026-08-18","2316000","2831540","-","","-","07 Aug 2026  07 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"Eppeltone Engineers","Waaree Smart meters Private Ltd","","Acquisition","2026-08-18","3137000","3137000","-","","-","07 Aug 2026  07 Aug 2026","SAST (Reg29(1))","Equity shares","Others"
"Nikita Greentech Recycling","Sandhya Bansal","Promoter","Acquisition","2026-08-18","24000","971150","-","","-","12 Aug 2026  12 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Dollex Agrotech","Munni Khan","Promoter","Sale","2026-08-18","116000","6536000","-","","-","12 Aug 2026  12 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"Nikita Greentech Recycling","Sudhir Kumar Bansal","Promoter","Acquisition","2026-08-18","24000","1867130","-","","-","12 Aug 2026  12 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Seshasayee Paper & Boards","Dhanashree Investments Pvt Ltd","Promoter","Acquisition","2026-08-18","20695","3138944","0.03","","-","30 Jul 2026  30 Jul 2026","SAST (29(2))","-","Market"
"Electronics Mart","Nippon India Mutual Fund","Other","Disposal","2026-08-18","554085","11341702","0.14","","-","27 Sep 2023  28 Jul 2026","SAST (29(2))","-","Market"
"Firstsource Solutions","Firstsource Employee Benefit Trust","Trust","Disposal","2026-08-18","105550","5850744","0.02","273.6","28,873,203","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Sale"
"Firstsource Solutions","Firstsource Employee Benefit Trust","Trust","Disposal","2026-08-18","248355","5602389","0.04","10","2,483,550","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Off Market"
"Signet Industries","Mukesh Sangla","Promoter and Director","Acquisition","2026-08-18","13904","1183789","0.05","68.8","956,643","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"eClerx Services","Eclerx Employee Welfare","Trust","Acquisition","2026-08-18","12725","2118128","0.01","1858.5","23,649,079","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Senthil Infotek","P ANURADHA","Promoter Group","Disposal","2026-08-18","50000","0
                
                
                    (0%)","0.99","5.5","275,000","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Off Market"
"Kilburn Engineering","Ekta Credit Private Limited","Promoter Group","Acquisition","2026-08-18","25000","1473235","0.05","348.7","8,718,208","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Senthil Infotek","MALLIGA","Promoter Group","Disposal","2026-08-18","100000","0
                
                
                    (0%)","1.98","5.5","550,000","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Off Market"
"Kilburn Engineering","Firstview Trading Private Limited","Promoter","Acquisition","2026-08-18","25000","16413600","0.05","344.0","8,600,625","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Senthil Infotek","PITCHANDI SELVAM","Promoter Group","Disposal","2026-08-18","100000","0
                
                
                    (0%)","1.98","5.5","550,000","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Off Market"
"Avonmore Capital","INNOVATIVE MONEY MATTERS PRIVATE LIMITED","Promoter","Acquisition","2026-08-18","50000","94114900","0.02","11.4","570,345","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Purchase"
"Fischer Medical","FMV Holdings Pte Ltd","Promoter","Acquisition","2026-08-18","454210","354761120","0.07","23.4","10,628,514","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Conversion of security"
"Jubilant Foodworks","JFL Employee Welfare Trust","Trust","Disposal","2026-08-18","108892","2052395","0.02","2","217,784","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","ESOP"
"Vibhor Steel Tubes","VIJAY KUMAR KAUSHIK","Promoter and Director","Acquisition","2026-08-18","5000","4175400","0.03","107.0","534,796","14 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Thyrocare Tech","Docon Technologies Private Limited","Promoter","-","2026-08-18","79469696","81200000","49.93","618.6","49,159,953,946","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","None"
"Koiya International","Shaju Thomas (Revised)","Promoter","Disposal","2026-08-18","350000","633926","5.81","","-","15 Jun 2026  15 Jun 2026","SAST (29(2))","-","Market"
"Titan Company","Titan Employee Stock Option Trust","Connected Person","Disposal","2026-08-18","30581","407766","0.00","5089.8","155,649,951","10 Aug 2026  14 Aug 2026","Insider Trading","Equity","Off Market"
"Obcl","OBCL INFRASTRUCTURE PRIVATE LIMITED","Promoter Group","Acquisition","2026-08-18","160579","2234761","0.76","52.9","8,490,131","11 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Purchase"
"Samkrg Pistons ","SARIPALLI KARUNAKR","Promoter and Director","Acquisition","2026-08-18","2000000","2586971","20.37","10","20,000,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
"Fischer Medical","Shankar Varadharajan","Promoter","Acquisition","2026-08-17","6000000","86001530","0.87","23.4","140,400,000","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Conversion of security"
"Nippon Life Asset Mgmt","Vegi Samba Murthy","Designated Person","Acquisition","2026-08-17","3772","3772","0.00","396.8","1,496,680","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Ashok Kumar Dobriyal","Designated Person","Acquisition","2026-08-17","2293","8529","0.00","426.1","977,049","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Vivek Sharma","Designated Person","Acquisition","2026-08-17","6173","8026","0.00","223.3","1,378,554","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Vikas Agarwal","Designated Person","Acquisition","2026-08-17","1702","2055","0.00","499.8","850,592","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Shadab Shaikh","Designated Person","Acquisition","2026-08-17","4000","5111","0.00","372.7","1,490,840","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Praveen Bilgaiyan","Designated Person","Acquisition","2026-08-17","2448","4607","0.00","282.9","692,592","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Sundeep Sikka","Director","Acquisition","2026-08-17","250000","750000","0.04","223.3","55,830,000","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Sushil Hari Prasad Budhia","Designated Person","Acquisition","2026-08-17","8000","8000","0.00","223.3","1,786,560","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Arash Arethna","Designated Person","Acquisition","2026-08-17","1230","1230","0.00","449.0","552,268","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Akash Singh Rana","Designated Person","Acquisition","2026-08-17","2029","2029","0.00","372.7","756,229","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Pranay Sinha","Designated Person","Acquisition","2026-08-17","4000","5000","0.00","499.8","1,999,040","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"ICRA","Aditi Nayar","Designated Person","Acquisition","2026-08-17","185","413","0.00","5105.5","944,518","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","ESOP"
"Fischer Medical","FMV Holdings Pte Ltd","Promoter","Acquisition","2026-08-17","7335909","354306910","1.06","23.4","171,660,271","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Conversion of security"
"Nippon Life Asset Mgmt","Shalin Shah","Designated Person","Acquisition","2026-08-17","5672","25967","0.00","429.6","2,436,660","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Nippon Life Asset Mgmt","Rakesh Patel","Designated Person","Acquisition","2026-08-17","3288","3288","0.00","399.5","1,313,471","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"Cupid Breweries","Subha Lalita Samavedam","Directors Immediate Relative","Disposal","2026-08-17","30000","20308","0.03","27.9","836,211","10 Aug 2026  11 Aug 2026","Insider Trading","Equity","Market Sale"
"Info Edge","Hitesh Oberoi","Promoter and Director","Disposal","2026-08-17","500000","31507350","0.08","1364.6","682,305,000","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Alembic","Nirayu Private Limited","Promoter Group","Acquisition","2026-08-17","454376","162369428","0.18","87.7","39,869,975","14 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Deccan Gold Mines","SUBRAMANIAM SUNDARAM","Director","-","2026-08-17","198009","198009","0.10","225.0","44,561,925","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Pledge Creation"
"Info Edge","Sanjeev Bikhchandani","Promoter and Director","Disposal","2026-08-17","850000","154995490","0.13","1362.4","1,158,070,471","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"ADF Foods","Parul Vishal Sonchhatra","Designated Person","Disposal","2026-08-17","9000","108000","0.01","260.0","2,339,624","10 Aug 2026  10 Aug 2026","Insider Trading","Equity","Market Sale"
"Mach Travel Solutions","Diva Bhatia","Directors Immediate Relative","Acquisition","2026-08-17","3600","9600","0.02","177.7","639,570","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"The Anup Engineering","PARU MRUGESH JAYKRISHNA","Directors Immediate Relative","Disposal","2026-08-17","2500","7500","0.01","1871.1","4,677,625","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Sale"
"The Anup Engineering","PARU MRUGESH JAYKRISHNA","Directors Immediate Relative","Disposal","2026-08-17","2720","4780","0.01","1864.8","5,072,338","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"The Anup Engineering","PARU MRUGESH JAYKRISHNA","Directors Immediate Relative","Disposal","2026-08-17","4780","0
                
                
                    (0%)","0.02","1849.8","8,842,092","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"HCL Technologies","Gaurav Khosla","Designated Person","Acquisition","2026-08-17","6693","7677","0.00","1362.9","9,121,890","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","ESOS"
"HCL Technologies","Krishnamurthy V G","Designated Person","Acquisition","2026-08-17","805","35528","0.00","1362.9","1,097,135","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","ESOS"
"RPP Infra Projects","Ms. N A Yagavi","Promoter Group","Disposal","2026-08-17","1734389","2239283","3.50","58.9","102,228,843","12 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"HCL Technologies","Sachin Bhatnagar","Designated Person","Disposal","2026-08-17","800","716","0.00","1358","1,086,400","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Sale"
"Sumeet Industries","Eagle Fibres Limited","Promoter Group","Acquisition","2026-08-17","1000000","29700000","0.14","14.6","14,640,000","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"HCL Technologies","HCL Technologies Stock Options Trust","Designated Person","Disposal","2026-08-17","20268","7722797","0.00","1362.9","27,623,257","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","ESOS"
"HCL Technologies","Srinivasan Aravamudhan","Designated Person","Acquisition","2026-08-17","2238","2238","0.00","1362.9","3,050,170","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","ESOS"
"Balu Forge","TRIMAAN JASPALSINGH CHANDOCK","Promoter and Director","Acquisition","2026-08-17","1500000","2575900","1.24","360","540,000,000","09 Mar 2026  09 Mar 2026","Insider Trading","Equity","Allotment"
"HCL Technologies","Srivathsa G","Designated Person","Acquisition","2026-08-17","2683","4120","0.00","1362.9","3,656,661","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","ESOS"
"HCL Technologies","Srivathsa G","Designated Person","Acquisition","2026-08-17","470","1437","0.00","1237","581,390","24 Jul 2026  24 Jul 2026","Insider Trading","Equity","ESOS"
"Aayush Art & Bullion","EKLINGJI BROKING LLP","Other","Acquisition","2026-08-17","4000","65000","0.03","1249.5","4,997,976","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Purchase"
"Balu Forge","JAIKARAN JASPALSINGH CHANDOCK","Promoter and Director","Acquisition","2026-08-17","1500000","2510150","1.24","360","540,000,000","06 Mar 2026  06 Mar 2026","Insider Trading","Equity","Allotment"
"Aayush Art & Bullion","EKLINGJI BROKING LLP","Other","Acquisition","2026-08-17","3750","61000","0.02","1246.0","4,672,451","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Purchase"
"Rajesh Power Services","Utsav Nehal Panchal","Promoter and Director","Acquisition","2026-08-17","2000","1507800","0.01","833.8","1,667,511","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"Rajesh Power Services","ANJANABEN PRAFULBHAI PATEL","Promoter Group","Acquisition","2026-08-17","2000","75465","0.01","834.2","1,668,380","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"Leap","Vertical Holdings II Pte. Ltd","Promoter","Disposal","2026-08-17","125699559","154687377","28.53","159","19,986,229,881","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Others"
"Leap","KIA EBT Scheme 3 (through Catalyst Trusteeship limited)","Promoter Group","Disposal","2026-08-17","86603","122729","0.02","159","13,769,877","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Others"
"Happy Square Outsourcing","Mr. Lalit Dua","","Sale","2026-08-17","57600","971330","-","","-","07 Aug 2026  07 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Milton Industries","Babita Jain","Promoter","Sale","2026-08-17","440000","261479","-","","-","04 Aug 2026  04 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"Magson Retail ","Manish Shivnarayan Pancholi","Promoter","Sale","2026-08-17","100000","361100","-","","-","06 Aug 2026  06 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Dollex Agrotech","Mrs. Munni Khan","Promoter","Sale","2026-08-17","348000","6652000","-","","-","07 Aug 2026  10 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"Thyrocare Tech","Docon Technologies Private Limited","Promoter","Pledge","2026-08-17","17500000","79469696","-","","-","11 Aug 2026  11 Aug 2026","SAST (Reg31)","-","Release"
"Ganga Forging","Pine Oak Global Fund","","Sale","2026-08-17","12216663","20774509","-","","-","04 Aug 2026  06 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"IRIS Clothings","Stellar IR Advisors Private Limited","","Both","2026-08-17","3600000","25541171","-","","-","29 Jul 2025  11 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Mach Travel Solutions","Adit Bhatia (Revised)","Promoter and Director","Acquisition","2026-08-17","11400","101600","0.05","183.7","2,094,570","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Fischer Medical","Shankar Varadharajan","Promoter","Acquisition","2026-08-17","6000000","86001530","0.89","23.4","140,400,000","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Conversion of security"
"Jubilant Ingrevia","Jubilant Ingrevia Employees Welfare Trust","Trust","Disposal","2026-08-17","13146","1542244","0.01","738","9,701,748","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","ESOP"
"Fischer Medical","FMV Holdings Pte Ltd","Promoter","Acquisition","2026-08-17","7335909","354306910","1.09","23.4","171,660,271","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Conversion of security"
"Ponni Sugars Erode","Seshasayee Paper and Boards Limited","Promoter","Acquisition","2026-08-17","290000","3071362","3.37","350.0","101,498,680","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Disha Resources","Krishna Awtar Kabra","Promoter","Disposal","2026-08-17","61000","38690","0.83","28.2","1,718,955","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"Disha Resources","Krishna Awtar Kabra","Promoter","Disposal","2026-08-17","115009","99690","1.57","26.7","3,072,845","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Sale"
"Mach Travel Solutions","Amit Bhatia","Promoter and Director","Acquisition","2026-08-17","11400","14112200","0.05","183.7","2,094,570","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Disha Resources","Mayadevi Krishnavtar Kabra","Promoter","Disposal","2026-08-17","420000","174448","5.74","28.1","11,789,400","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Samkrg Pistons ","SARIPALLI KISHORE","Promoter and Director","Acquisition","2026-08-17","2303531","2950686","23.46","10","23,035,310","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
"Milkfood","J HOUSING PRIVATE LIMITED","Promoter Group","Acquisition","2026-08-17","30000","30000","0.12","81.9","2,457,900","13 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"Homes","Isisales India Pvt Ltd","Promoter Group","Disposal","2026-08-17","78209","7745476","0.02","26.8","2,096,000","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Off Market"
"NIIT Learning ","Devenderjit Singh Chadha","Designated Person","Acquisition","2026-08-17","25000","71528","0.02","56.5","1,413,000","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"NIIT Learning ","Sailesh Kumar Lalla","Designated Person","Acquisition","2026-08-17","105000","516236","0.08","54.5","5,724,200","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","ESOP"
"V-Guard Industries","PRIYA SARAH CHEERAN JOSEPH","Other","Disposal","2026-08-17","481947","9993261","0.11","333.1","160,522,087","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"V-Guard Industries","PRIYA SARAH CHEERAN JOSEPH","Other","Disposal","2026-08-17","100000","9893261","0.02","330.4","33,043,000","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"Ester Industries","Modi Rubber Limited","Promoter Group","Disposal","2026-08-17","17000","2612019","0.02","102.5","1,742,500","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"Magson Retail ","Manish Shivnarayan Pancholi","Promoter","Sale","2026-08-15","101000","461100","-","","-","03 Aug 2026  03 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"SAR Auto Products","SHREYAS RAMESHBHAI VIRANI","Promoter and Director","Disposal","2026-08-15","2778","1299315","0.06","3617.8","10,050,387","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"Bluestone Jewellery","Rumit Dugar","KMP","-","2026-08-14","70000","118576","0.05","0","0","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Off Market"
"Bluestone Jewellery","SUDEEP NAGAR","Designated Person","-","2026-08-14","110000","327768","0.07","0","0","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Off Market"
"Sonata Software","Sonata Software Limited Employee Welfare Trust","Trust","Acquisition","2026-08-14","24712","3691953","0.01","324.2","8,010,804","13 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"Sonata Software","Sonata Software Limited Employee Welfare Trust","Trust","Acquisition","2026-08-14","36894","3667241","0.01","325.0","11,989,167","10 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Purchase"
"Info Edge","Nita Goyal","Other","Disposal","2026-08-14","45000","359060","0.01","1353.0","60,886,302","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Sayaji Hotels Pune","Zoya Dhanani","Promoter","Disposal","2026-08-14","126601","0
                
                
                    (0%)","4.16","849","107,484,249","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"eClerx Services","Eclerx Employee Welfare","Trust","Acquisition","2026-08-14","10263","2095403","0.01","1846.1","18,946,035","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Purchase"
"eClerx Services","Eclerx Employee Welfare","Trust","Acquisition","2026-08-14","10000","2105403","0.01","1894.3","18,943,486","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"Info Edge","Pawan Goyal","Other","Disposal","2026-08-14","10000","33961","0.00","1340","13,400,000","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Info Edge","Pawan Goyal","Other","Disposal","2026-08-14","33961","0
                
                
                    (0%)","0.01","1348.4","45,792,000","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Info Edge","Shail Gaurav","Designated Person","Disposal","2026-08-14","1980","0
                
                
                    (0%)","0.00","1356.5","2,685,860","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Sayaji Hotels Pune","Zuber Yusuf Dhanani","Promoter and Director","Acquisition","2026-08-14","150101","150101","4.93","849","127,435,749","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"Zee Entertainment","Shreyasi Goenka","Immediate Relative","Acquisition","2026-08-14","1000000","6942048","0.10","103.3","103,305,600","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Purchase"
"Vishnu Prakash R Punglia","Vijay Punglia","Promoter Group","Invoke","2026-08-14","700000","3115000","0.56","32.9","23,030,000","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Invocation of pledge"
"Refex Renewables","Avyan Pashupathy Capital Advisors Private Limited","Promoter","Disposal","2026-08-14","1391869","0
                
                
                    (0%)","30.95","142.5","198,303,690","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
"Sayaji Hotels Pune","Sanya Dhanani","Promoter","Disposal","2026-08-14","23400","103201","0.77","849","19,866,600","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Market Sale"
"Refex Renewables","Refex Holding Private Limited","Promoter","Acquisition","2026-08-14","1391869","3367425","30.95","142.5","198,303,690","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
"Info Edge","Sumit Kumar Jaiswal","Designated Person","Disposal","2026-08-14","1600","0
                
                
                    (0%)","0.00","1350","2,160,000","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-14","3832","4385505","0.00","1269.8","4,865,975","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Sale"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-14","27365","4398273","0.00","1277.2","34,950,865","11 Aug 2026  11 Aug 2026","Insider Trading","Equity","Market Sale"
"Arvind Fashions","AFL ESOP TRUST","Designated Person","Acquisition","2026-08-14","30000","197960","0.02","265.6","7,967,350","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","ESOP"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-14","14615","4328920","0.00","1","14,615","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Off Market"
"Mindspace REIT","Vinod Rohira","Director","Acquisition","2026-08-14","25000","84600","0.00","496.7","12,417,031","10 Aug 2026  10 Aug 2026","Insider Trading","Any other instrument","Market Purchase"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-14","55528","4266261","0.00","1","55,528","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Off Market"
"JSW Steel","JSW Steel Employees Welfare Trust – JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Disposal","2026-08-14","2474","4321789","0.00","1271","3,144,454","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Trident Texofab","HARDIK DESAI FAMILY TRUST","Promoter Group","Acquisition","2026-08-14","39158","979267","0.26","22.2","870,506","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Purchase"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-14","4657","4324263","0.00","1271.1","5,919,446","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Avenue Supermarts","Bhaskaran N","Director","Disposal","2026-08-14","500","756500","0.00","4060","2,030,000","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-14","41970","4343535","0.00","1","41,970","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Off Market"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-14","3334","4389337","0.00","1271.2","4,238,084","12 Aug 2026  12 Aug 2026","Insider Trading","Equity","Market Sale"
"Avenue Supermarts","Gorakh Sakharam Khilari","Designated Person","Invoke","2026-08-14","3500","48701","0.00","4022.2","14,077,805","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Invocation of pledge"
"JSW Steel","JSW Steel Employees Welfare Trust – OPJ ESOP Plan 2021 A/c","Other","Disposal","2026-08-14","24573","4425638","0.00","1278.1","31,406,134","11 Aug 2026  11 Aug 2026","Insider Trading","Equity","Market Sale"
"Retaggio Industries","Retaggio Trading Services LLP","Promoter","Acquisition","2026-08-14","120000","6162000","0.65","19.5","2,340,000","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Conversion of security"
